Node,Batch Size,Requests,Interval (s),Node Init Size (MiB),Max Usage (MiB),Memory Diff,Actual Batches Sent
0,1,10,10,818.65625,1157.824219,339.1679688,10
0,1,20,5,818.65625,1158.042969,339.3867188,20
0,1,50,1,818.65625,1164.847656,346.1914063,50
0,4,10,10,819.5820313,1157.84375,338.2617188,10
0,4,20,5,819.5820313,1158.429688,338.8476563,20
0,4,50,1,819.5820313,1160.964844,341.3828125,25
0,8,10,10,819.9179688,400.0351563,-419.8828125,10
0,8,20,5,819.9179688,401.515625,-418.4023438,20
0,8,50,1,819.9179688,406.7109375,-413.2070313,46
1,1,10,10,14351.82031,14709.77344,357.953125,10
1,1,20,5,14351.82031,14717.82422,366.0039063,20
1,1,50,1,14351.82031,14717.95313,366.1328125,50
1,4,10,10,14367.66797,14712.48047,344.8125,10
1,4,20,5,14367.66797,14715.09375,347.4257813,20
1,4,50,1,14367.66797,14719.24609,351.578125,14
1,8,10,10,14025.46094,14401.38281,375.921875,10
1,8,20,5,14025.46094,14401.51172,376.0507813,19
1,8,50,1,14025.46094,14404.15234,378.6914063,8
2,1,10,10,3449.878906,3492.351563,42.47265625,10
2,1,20,5,3449.878906,3508.242188,58.36328125,20
2,1,50,1,3449.878906,3516.136719,66.2578125,50
2,4,10,10,3217.792969,3548.691406,330.8984375,5
2,4,20,5,3217.792969,3548.691406,330.8984375,6
2,4,50,1,3217.792969,3555.25,337.4570313,15
2,8,10,10,3669.84375,3502.308594,-167.5351563,8
2,8,20,5,3669.84375,3618.273438,-51.5703125,12
2,8,50,1,3669.84375,3623.65625,-46.1875,9
,,,,,,,
,,,,,,,
,,,,,"Thrashing memory b/w disk (virtual memory) and RAM?
So latency is also high",,
