batch_size,num_requests,interval_sec,stage,avg_stage_latency_sec,avg_stage_throughput_rps,avg_system_throughput_rpm
1,10,10,stage_embeddings,1,1,60
1,10,10,stage_faiss_search,0.2731391668,3.66113733,219.6682398
1,10,10,stage_fetch_documents,1.40497303,0.7117574349,42.70544609
1,10,10,stage_generate,0.9069576025,1.102587373,66.15524236
1,10,10,stage_rerank,0.03031725883,32.9845124,1979.070744
1,10,10,stage_safety_filter,0.2258737564,4.427251824,265.6351094
1,10,10,stage_sentiment,9.698841643,0.1031050961,6.186305768
1,20,5,stage_embeddings,1,1,60
1,20,5,stage_faiss_search,1.644519508,0.6080803513,36.48482108
1,20,5,stage_fetch_documents,1.384862638,0.7220932769,43.32559661
1,20,5,stage_generate,2.946288002,0.3394101322,20.36460793
1,20,5,stage_rerank,0.02514536381,39.76876245,2386.125747
1,20,5,stage_safety_filter,0.1846801519,5.414767042,324.8860225
1,20,5,stage_sentiment,9.395705962,0.106431598,6.385895881
1,50,1,stage_embeddings,1,1,60
1,50,1,stage_faiss_search,0.6377258062,1.568072031,94.08432184
1,50,1,stage_fetch_documents,1.400401478,0.7140809374,42.84485624
1,50,1,stage_generate,0.8478364849,1.179472714,70.76836285
1,50,1,stage_rerank,0.02585552692,38.67645022,2320.587013
1,50,1,stage_safety_filter,0.1931867695,5.176337917,310.580275
1,50,1,stage_sentiment,9.708117719,0.1030065795,6.180394773
4,10,10,stage_embeddings,1,1,60
4,10,10,stage_faiss_search,0.2655931234,3.765157723,225.9094634
4,10,10,stage_fetch_documents,1.419743896,0.7043523858,42.26114315
4,10,10,stage_generate,0.9631268263,1.038284858,62.29709148
4,10,10,stage_rerank,0.03152205944,31.72381557,1903.428934
4,10,10,stage_safety_filter,0.65100348,1.536090099,92.16540594
4,10,10,stage_sentiment,46.17436349,0.0216570392,1.299422352
4,20,5,stage_embeddings,1,1,60
4,20,5,stage_faiss_search,0.05233509541,19.1076369,1146.458214
4,20,5,stage_fetch_documents,1.356297255,0.7373014998,44.23808999
4,20,5,stage_generate,0.5255293012,1.902843472,114.1706083
4,20,5,stage_rerank,0.03329161406,30.0375944,1802.255664
4,20,5,stage_safety_filter,1.436260629,0.6962524628,41.77514777
4,20,5,stage_sentiment,63.99808624,0.01562546724,0.9375280345
4,50,1,stage_embeddings,1,1,60
4,50,1,stage_faiss_search,0.8413312769,1.188592446,71.31554674
4,50,1,stage_fetch_documents,1.536133881,0.6509849256,39.05909554
4,50,1,stage_generate,3.921658483,0.2549941573,15.29964944
4,50,1,stage_rerank,0.03209902763,31.15359167,1869.2155
4,50,1,stage_safety_filter,1.275830636,0.7838030941,47.02818564
4,50,1,stage_sentiment,69.44134154,0.01440064345,0.8640386068
8,10,10,stage_embeddings,1,1,60
8,10,10,stage_faiss_search,1.335776591,0.7486281812,44.91769087
8,10,10,stage_fetch_documents,1.407108784,0.7106771072,42.64062643
8,10,10,stage_generate,2.671262693,0.3743547958,22.46128775
8,10,10,stage_rerank,0.03008897305,33.23476672,1994.086003
8,10,10,stage_safety_filter,0.1693099499,5.906327423,354.3796454
8,10,10,stage_sentiment,9.015988874,0.1109140677,6.654844059
8,20,5,stage_embeddings,1,1,60
8,20,5,stage_faiss_search,0.0549162689,18.20954009,1092.572405
8,20,5,stage_fetch_documents,1.378608603,0.7253690407,43.52214244
8,20,5,stage_generate,0.5205849723,1.920915995,115.2549597
8,20,5,stage_rerank,0.02506138149,39.90203016,2394.121809
8,20,5,stage_safety_filter,1.466808131,0.6817524248,40.90514549
8,20,5,stage_sentiment,98.57808542,0.01014424246,0.6086545477
8,50,1,stage_embeddings,1.264864865,0.7905982906,47.43589744
8,50,1,stage_faiss_search,1.032617873,0.9684124457,58.10474674
8,50,1,stage_fetch_documents,2.965107178,0.3372559371,20.23535623
8,50,1,stage_generate,6.043175605,0.1654759129,9.928554774
8,50,1,stage_rerank,0.1710264219,5.847049766,350.8229859
8,50,1,stage_safety_filter,1.190377741,0.840069472,50.40416832
8,50,1,stage_sentiment,117.2944621,0.008525551694,0.5115331017
